UID,test,test_code,paradigm,paradigm_code,theta,TSVR_hours,loaded_timestamp,Segment,Days_within
A010,1,T1,free_recall,IFR,2.2559497,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A010,2,T2,free_recall,IFR,0.063646406,21.9,2025-12-02T15:24:02.960793,Early,0.9125
A010,3,T3,free_recall,IFR,-0.63363457,80.88,2025-12-02T15:24:02.960793,Late,2.36375
A010,4,T4,free_recall,IFR,0.530237,145.31,2025-12-02T15:24:02.960793,Late,5.048333333333333
A011,1,T1,free_recall,IFR,1.0253187,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A011,2,T2,free_recall,IFR,0.29738232,24.57,2025-12-02T15:24:02.960793,Late,0.01750000000000007
A011,3,T3,free_recall,IFR,0.05539917,72.55,2025-12-02T15:24:02.960793,Late,2.0166666666666666
A011,4,T4,free_recall,IFR,-0.5692055,148.85,2025-12-02T15:24:02.960793,Late,5.195833333333333
A012,1,T1,free_recall,IFR,1.1145911,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A012,2,T2,free_recall,IFR,-0.40524608,25.6,2025-12-02T15:24:02.960793,Late,0.060416666666666785
A012,3,T3,free_recall,IFR,0.7902062,166.33,2025-12-02T15:24:02.960793,Late,5.924166666666667
A012,4,T4,free_recall,IFR,-0.7995365,166.87,2025-12-02T15:24:02.960793,Late,5.946666666666666
A013,1,T1,free_recall,IFR,-0.5856965,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A013,2,T2,free_recall,IFR,-0.4070654,24.77,2025-12-02T15:24:02.960793,Late,0.025833333333333375
A013,3,T3,free_recall,IFR,0.7922385,79.66,2025-12-02T15:24:02.960793,Late,2.3129166666666667
A013,4,T4,free_recall,IFR,-1.0692434,147.13,2025-12-02T15:24:02.960793,Late,5.1241666666666665
A014,1,T1,free_recall,IFR,0.18263546,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A014,2,T2,free_recall,IFR,1.2276359,25.66,2025-12-02T15:24:02.960793,Late,0.06291666666666673
A014,3,T3,free_recall,IFR,0.35754204,70.56,2025-12-02T15:24:02.960793,Late,1.93375
A014,4,T4,free_recall,IFR,-0.58439595,148.87,2025-12-02T15:24:02.960793,Late,5.196666666666666
A015,1,T1,free_recall,IFR,1.5247837,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A015,2,T2,free_recall,IFR,1.7857077,23.69,2025-12-02T15:24:02.960793,Early,0.9870833333333334
A015,3,T3,free_recall,IFR,1.7846233,70.59,2025-12-02T15:24:02.960793,Late,1.9350000000000003
A015,4,T4,free_recall,IFR,-0.09274579,146.54,2025-12-02T15:24:02.960793,Late,5.0995833333333325
A016,1,T1,free_recall,IFR,1.8982425,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A016,2,T2,free_recall,IFR,1.1705568,32.85,2025-12-02T15:24:02.960793,Late,0.3625000000000001
A016,3,T3,free_recall,IFR,-0.06720384,80.64,2025-12-02T15:24:02.960793,Late,2.3537500000000002
A016,4,T4,free_recall,IFR,-0.7857009,150.8,2025-12-02T15:24:02.960793,Late,5.277083333333334
A017,1,T1,free_recall,IFR,-0.07584843,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A017,2,T2,free_recall,IFR,1.0087,20.61,2025-12-02T15:24:02.960793,Early,0.85875
A017,3,T3,free_recall,IFR,0.22324428,61.28,2025-12-02T15:24:02.960793,Late,1.5470833333333334
A017,4,T4,free_recall,IFR,1.0260882,140.49,2025-12-02T15:24:02.960793,Late,4.8475
A018,1,T1,free_recall,IFR,0.8998065,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A018,2,T2,free_recall,IFR,0.46910602,34.03,2025-12-02T15:24:02.960793,Late,0.4116666666666668
A018,3,T3,free_recall,IFR,-0.8570981,83.64,2025-12-02T15:24:02.960793,Late,2.4787500000000002
A018,4,T4,free_recall,IFR,0.042763263,150.87,2025-12-02T15:24:02.960793,Late,5.28
A019,1,T1,free_recall,IFR,-0.457872,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A019,2,T2,free_recall,IFR,-0.7839532,28.69,2025-12-02T15:24:02.960793,Late,0.1891666666666668
A019,3,T3,free_recall,IFR,-0.731604,83.68,2025-12-02T15:24:02.960793,Late,2.480416666666667
A019,4,T4,free_recall,IFR,-0.75950915,154.76,2025-12-02T15:24:02.960793,Late,5.442083333333333
A020,1,T1,free_recall,IFR,0.072841056,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A020,2,T2,free_recall,IFR,-0.20886408,26.85,2025-12-02T15:24:02.960793,Late,0.11250000000000011
A020,3,T3,free_recall,IFR,-0.7968719,78.25,2025-12-02T15:24:02.960793,Late,2.254166666666667
A020,4,T4,free_recall,IFR,-2.0479772,145.78,2025-12-02T15:24:02.960793,Late,5.067916666666666
A021,1,T1,free_recall,IFR,1.2711351,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A021,2,T2,free_recall,IFR,0.36641207,30.21,2025-12-02T15:24:02.960793,Late,0.2525000000000001
A021,3,T3,free_recall,IFR,0.2283193,74.19,2025-12-02T15:24:02.960793,Late,2.085
A021,4,T4,free_recall,IFR,1.0181938,140.39,2025-12-02T15:24:02.960793,Late,4.843333333333333
A022,1,T1,free_recall,IFR,0.16907588,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A022,2,T2,free_recall,IFR,0.4875518,24.15,2025-12-02T15:24:02.960793,Late,0.0
A022,3,T3,free_recall,IFR,0.77547616,74.46,2025-12-02T15:24:02.960793,Late,2.09625
A022,4,T4,free_recall,IFR,0.44959623,141.71,2025-12-02T15:24:02.960793,Late,4.898333333333333
A023,1,T1,free_recall,IFR,0.5031585,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A023,2,T2,free_recall,IFR,-0.1653372,25.63,2025-12-02T15:24:02.960793,Late,0.06166666666666668
A023,3,T3,free_recall,IFR,0.068792194,72.2,2025-12-02T15:24:02.960793,Late,2.0020833333333337
A023,4,T4,free_recall,IFR,0.025527501,145.07,2025-12-02T15:24:02.960793,Late,5.038333333333333
A024,1,T1,free_recall,IFR,0.4014854,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A024,2,T2,free_recall,IFR,0.27175164,29.57,2025-12-02T15:24:02.960793,Late,0.2258333333333334
A024,3,T3,free_recall,IFR,0.0076772394,91.47,2025-12-02T15:24:02.960793,Late,2.8049999999999997
A024,4,T4,free_recall,IFR,-0.91121835,145.65,2025-12-02T15:24:02.960793,Late,5.0625
A025,1,T1,free_recall,IFR,1.2585467,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
A025,2,T2,free_recall,IFR,1.9095496,23.33,2025-12-02T15:24:02.960793,Early,0.9720833333333333
A025,3,T3,free_recall,IFR,-0.28530517,72.94,2025-12-02T15:24:02.960793,Late,2.0329166666666665
A025,4,T4,free_recall,IFR,-0.96083295,137.74,2025-12-02T15:24:02.960793,Late,4.732916666666667
A026,1,T1,free_recall,IFR,0.5969401,1.0,2025-12-02T15:24:02.960793,Early,0.041666666666666664
