model,aic,bic,delta_aic,converged,random_slope_var
Intercepts_Only,2391.3344523518845,2462.5955280527496,0.0,True,0.0
Intercepts_Slopes,2247.786165812475,2329.2273951848924,143.54828653940967,True,0.01909005041682715
