UID,test,test_code,paradigm,paradigm_code,theta,TSVR_hours,loaded_timestamp
A010,1,T1,free_recall,IFR,2.2559497,1.0,2025-12-02T15:24:02.960793
A010,2,T2,free_recall,IFR,0.063646406,21.9,2025-12-02T15:24:02.960793
A010,3,T3,free_recall,IFR,-0.63363457,80.88,2025-12-02T15:24:02.960793
A010,4,T4,free_recall,IFR,0.530237,145.31,2025-12-02T15:24:02.960793
A011,1,T1,free_recall,IFR,1.0253187,1.0,2025-12-02T15:24:02.960793
A011,2,T2,free_recall,IFR,0.29738232,24.57,2025-12-02T15:24:02.960793
A011,3,T3,free_recall,IFR,0.05539917,72.55,2025-12-02T15:24:02.960793
A011,4,T4,free_recall,IFR,-0.5692055,148.85,2025-12-02T15:24:02.960793
A012,1,T1,free_recall,IFR,1.1145911,1.0,2025-12-02T15:24:02.960793
A012,2,T2,free_recall,IFR,-0.40524608,25.6,2025-12-02T15:24:02.960793
A012,3,T3,free_recall,IFR,0.7902062,166.33,2025-12-02T15:24:02.960793
A012,4,T4,free_recall,IFR,-0.7995365,166.87,2025-12-02T15:24:02.960793
A013,1,T1,free_recall,IFR,-0.5856965,1.0,2025-12-02T15:24:02.960793
A013,2,T2,free_recall,IFR,-0.4070654,24.77,2025-12-02T15:24:02.960793
A013,3,T3,free_recall,IFR,0.7922385,79.66,2025-12-02T15:24:02.960793
A013,4,T4,free_recall,IFR,-1.0692434,147.13,2025-12-02T15:24:02.960793
A014,1,T1,free_recall,IFR,0.18263546,1.0,2025-12-02T15:24:02.960793
A014,2,T2,free_recall,IFR,1.2276359,25.66,2025-12-02T15:24:02.960793
A014,3,T3,free_recall,IFR,0.35754204,70.56,2025-12-02T15:24:02.960793
A014,4,T4,free_recall,IFR,-0.58439595,148.87,2025-12-02T15:24:02.960793
A015,1,T1,free_recall,IFR,1.5247837,1.0,2025-12-02T15:24:02.960793
A015,2,T2,free_recall,IFR,1.7857077,23.69,2025-12-02T15:24:02.960793
A015,3,T3,free_recall,IFR,1.7846233,70.59,2025-12-02T15:24:02.960793
A015,4,T4,free_recall,IFR,-0.09274579,146.54,2025-12-02T15:24:02.960793
A016,1,T1,free_recall,IFR,1.8982425,1.0,2025-12-02T15:24:02.960793
A016,2,T2,free_recall,IFR,1.1705568,32.85,2025-12-02T15:24:02.960793
A016,3,T3,free_recall,IFR,-0.06720384,80.64,2025-12-02T15:24:02.960793
A016,4,T4,free_recall,IFR,-0.7857009,150.8,2025-12-02T15:24:02.960793
A017,1,T1,free_recall,IFR,-0.07584843,1.0,2025-12-02T15:24:02.960793
A017,2,T2,free_recall,IFR,1.0087,20.61,2025-12-02T15:24:02.960793
A017,3,T3,free_recall,IFR,0.22324428,61.28,2025-12-02T15:24:02.960793
