UID,test,test_code,paradigm,paradigm_code,theta,TSVR_hours,loaded_timestamp
A017,4,T4,free_recall,IFR,1.0260882,140.49,2025-12-02T15:24:02.960793
A018,1,T1,free_recall,IFR,0.8998065,1.0,2025-12-02T15:24:02.960793
A018,2,T2,free_recall,IFR,0.46910602,34.03,2025-12-02T15:24:02.960793
A018,3,T3,free_recall,IFR,-0.8570981,83.64,2025-12-02T15:24:02.960793
A018,4,T4,free_recall,IFR,0.042763263,150.87,2025-12-02T15:24:02.960793
A019,1,T1,free_recall,IFR,-0.457872,1.0,2025-12-02T15:24:02.960793
A019,2,T2,free_recall,IFR,-0.7839532,28.69,2025-12-02T15:24:02.960793
A019,3,T3,free_recall,IFR,-0.731604,83.68,2025-12-02T15:24:02.960793
A019,4,T4,free_recall,IFR,-0.75950915,154.76,2025-12-02T15:24:02.960793
A020,1,T1,free_recall,IFR,0.072841056,1.0,2025-12-02T15:24:02.960793
A020,2,T2,free_recall,IFR,-0.20886408,26.85,2025-12-02T15:24:02.960793
A020,3,T3,free_recall,IFR,-0.7968719,78.25,2025-12-02T15:24:02.960793
A020,4,T4,free_recall,IFR,-2.0479772,145.78,2025-12-02T15:24:02.960793
A021,1,T1,free_recall,IFR,1.2711351,1.0,2025-12-02T15:24:02.960793
A021,2,T2,free_recall,IFR,0.36641207,30.21,2025-12-02T15:24:02.960793
A021,3,T3,free_recall,IFR,0.2283193,74.19,2025-12-02T15:24:02.960793
A021,4,T4,free_recall,IFR,1.0181938,140.39,2025-12-02T15:24:02.960793
A022,1,T1,free_recall,IFR,0.16907588,1.0,2025-12-02T15:24:02.960793
A022,2,T2,free_recall,IFR,0.4875518,24.15,2025-12-02T15:24:02.960793
A022,3,T3,free_recall,IFR,0.77547616,74.46,2025-12-02T15:24:02.960793
A022,4,T4,free_recall,IFR,0.44959623,141.71,2025-12-02T15:24:02.960793
A023,1,T1,free_recall,IFR,0.5031585,1.0,2025-12-02T15:24:02.960793
A023,2,T2,free_recall,IFR,-0.1653372,25.63,2025-12-02T15:24:02.960793
A023,3,T3,free_recall,IFR,0.068792194,72.2,2025-12-02T15:24:02.960793
A023,4,T4,free_recall,IFR,0.025527501,145.07,2025-12-02T15:24:02.960793
A024,1,T1,free_recall,IFR,0.4014854,1.0,2025-12-02T15:24:02.960793
A024,2,T2,free_recall,IFR,0.27175164,29.57,2025-12-02T15:24:02.960793
A024,3,T3,free_recall,IFR,0.0076772394,91.47,2025-12-02T15:24:02.960793
A024,4,T4,free_recall,IFR,-0.91121835,145.65,2025-12-02T15:24:02.960793
A025,1,T1,free_recall,IFR,1.2585467,1.0,2025-12-02T15:24:02.960793
A025,2,T2,free_recall,IFR,1.9095496,23.33,2025-12-02T15:24:02.960793
A025,3,T3,free_recall,IFR,-0.28530517,72.94,2025-12-02T15:24:02.960793
A025,4,T4,free_recall,IFR,-0.96083295,137.74,2025-12-02T15:24:02.960793
A026,1,T1,free_recall,IFR,0.5969401,1.0,2025-12-02T15:24:02.960793
A026,2,T2,free_recall,IFR,0.3370544,26.48,2025-12-02T15:24:02.960793
A026,3,T3,free_recall,IFR,0.7356694,75.46,2025-12-02T15:24:02.960793
A026,4,T4,free_recall,IFR,-0.094755605,147.65,2025-12-02T15:24:02.960793
A027,1,T1,free_recall,IFR,0.16043636,1.0,2025-12-02T15:24:02.960793
A027,2,T2,free_recall,IFR,0.46374553,28.26,2025-12-02T15:24:02.960793
A027,3,T3,free_recall,IFR,-0.9193564,74.58,2025-12-02T15:24:02.960793
A027,4,T4,free_recall,IFR,-0.42966694,145.92,2025-12-02T15:24:02.960793
A028,1,T1,free_recall,IFR,1.7501152,1.0,2025-12-02T15:24:02.960793
A028,2,T2,free_recall,IFR,0.095417134,22.82,2025-12-02T15:24:02.960793
A028,3,T3,free_recall,IFR,0.1234633,72.26,2025-12-02T15:24:02.960793
A028,4,T4,free_recall,IFR,-0.8479047,138.91,2025-12-02T15:24:02.960793
A029,1,T1,free_recall,IFR,2.242445,1.0,2025-12-02T15:24:02.960793
A029,2,T2,free_recall,IFR,0.29875055,28.43,2025-12-02T15:24:02.960793
A029,3,T3,free_recall,IFR,1.3977594,93.26,2025-12-02T15:24:02.960793
A029,4,T4,free_recall,IFR,0.5618795,143.14,2025-12-02T15:24:02.960793
A030,1,T1,free_recall,IFR,0.12693016,1.0,2025-12-02T15:24:02.960793
A030,2,T2,free_recall,IFR,0.890774,32.95,2025-12-02T15:24:02.960793
A030,3,T3,free_recall,IFR,0.30001456,71.93,2025-12-02T15:24:02.960793
A030,4,T4,free_recall,IFR,0.70453537,150.46,2025-12-02T15:24:02.960793
A031,1,T1,free_recall,IFR,1.83632,1.0,2025-12-02T15:24:02.960793
A031,2,T2,free_recall,IFR,-0.20975925,32.41,2025-12-02T15:24:02.960793
A031,3,T3,free_recall,IFR,-0.34666744,71.56,2025-12-02T15:24:02.960793
A031,4,T4,free_recall,IFR,-0.9627389,143.85,2025-12-02T15:24:02.960793
A032,1,T1,free_recall,IFR,0.71397096,1.0,2025-12-02T15:24:02.960793
A032,2,T2,free_recall,IFR,-0.325758,57.18,2025-12-02T15:24:02.960793
A032,3,T3,free_recall,IFR,0.41406077,80.16,2025-12-02T15:24:02.960793
A032,4,T4,free_recall,IFR,1.8328576,144.51,2025-12-02T15:24:02.960793
A033,1,T1,free_recall,IFR,0.10781428,1.0,2025-12-02T15:24:02.960793
A033,2,T2,free_recall,IFR,-0.23640966,29.16,2025-12-02T15:24:02.960793
A033,3,T3,free_recall,IFR,0.96893936,72.6,2025-12-02T15:24:02.960793
A033,4,T4,free_recall,IFR,-0.08949685,168.33,2025-12-02T15:24:02.960793
A034,1,T1,free_recall,IFR,1.6616325,1.0,2025-12-02T15:24:02.960793
A034,2,T2,free_recall,IFR,1.3464628,26.08,2025-12-02T15:24:02.960793
A034,3,T3,free_recall,IFR,0.25853375,74.28,2025-12-02T15:24:02.960793
A034,4,T4,free_recall,IFR,-0.10638464,145.38,2025-12-02T15:24:02.960793
A035,1,T1,free_recall,IFR,-0.65596753,1.0,2025-12-02T15:24:02.960793
A035,2,T2,free_recall,IFR,0.8209889,44.76,2025-12-02T15:24:02.960793
A035,3,T3,free_recall,IFR,-0.50477034,79.98,2025-12-02T15:24:02.960793
A035,4,T4,free_recall,IFR,-0.99131393,152.47,2025-12-02T15:24:02.960793
A036,1,T1,free_recall,IFR,0.8689254,1.0,2025-12-02T15:24:02.960793
A036,2,T2,free_recall,IFR,-0.1759345,21.63,2025-12-02T15:24:02.960793
A036,3,T3,free_recall,IFR,-0.7087776,71.47,2025-12-02T15:24:02.960793
A036,4,T4,free_recall,IFR,-1.176061,143.85,2025-12-02T15:24:02.960793
A037,1,T1,free_recall,IFR,1.0822115,1.0,2025-12-02T15:24:02.960793
A037,2,T2,free_recall,IFR,0.93259835,23.7,2025-12-02T15:24:02.960793
A037,3,T3,free_recall,IFR,0.6126821,72.08,2025-12-02T15:24:02.960793
A037,4,T4,free_recall,IFR,-0.28599942,143.66,2025-12-02T15:24:02.960793
A038,1,T1,free_recall,IFR,1.1545284,1.0,2025-12-02T15:24:02.960793
A038,2,T2,free_recall,IFR,-0.09438367,71.85,2025-12-02T15:24:02.960793
A038,3,T3,free_recall,IFR,0.9860895,72.86,2025-12-02T15:24:02.960793
A038,4,T4,free_recall,IFR,-0.008316844,152.89,2025-12-02T15:24:02.960793
A039,1,T1,free_recall,IFR,2.3421638,1.0,2025-12-02T15:24:02.960793
A039,2,T2,free_recall,IFR,0.7976839,28.65,2025-12-02T15:24:02.960793
A039,3,T3,free_recall,IFR,0.839274,98.84,2025-12-02T15:24:02.960793
A039,4,T4,free_recall,IFR,0.6956401,246.24,2025-12-02T15:24:02.960793
A040,1,T1,free_recall,IFR,-0.5817445,1.0,2025-12-02T15:24:02.960793
A040,2,T2,free_recall,IFR,-0.26374146,26.26,2025-12-02T15:24:02.960793
A040,3,T3,free_recall,IFR,-1.6241969,71.28,2025-12-02T15:24:02.960793
A040,4,T4,free_recall,IFR,-0.8882852,143.53,2025-12-02T15:24:02.960793
A041,1,T1,free_recall,IFR,1.2497655,1.0,2025-12-02T15:24:02.960793
A041,2,T2,free_recall,IFR,-1.167476,31.78,2025-12-02T15:24:02.960793
A041,3,T3,free_recall,IFR,0.075356334,75.74,2025-12-02T15:24:02.960793
A041,4,T4,free_recall,IFR,0.66515946,141.84,2025-12-02T15:24:02.960793
A042,1,T1,free_recall,IFR,-1.02681,1.0,2025-12-02T15:24:02.960793
A042,2,T2,free_recall,IFR,-1.0026407,28.93,2025-12-02T15:24:02.960793
A042,3,T3,free_recall,IFR,-0.5476192,72.17,2025-12-02T15:24:02.960793
A042,4,T4,free_recall,IFR,-0.8089415,146.02,2025-12-02T15:24:02.960793
A043,1,T1,free_recall,IFR,0.9052307,1.0,2025-12-02T15:24:02.960793
A043,2,T2,free_recall,IFR,0.115137,25.62,2025-12-02T15:24:02.960793
A043,3,T3,free_recall,IFR,0.2997891,64.94,2025-12-02T15:24:02.960793
A043,4,T4,free_recall,IFR,0.048738178,149.33,2025-12-02T15:24:02.960793
A044,1,T1,free_recall,IFR,-0.8060287,1.0,2025-12-02T15:24:02.960793
A044,2,T2,free_recall,IFR,-0.19541748,47.66,2025-12-02T15:24:02.960793
A044,3,T3,free_recall,IFR,-1.4959046,91.63,2025-12-02T15:24:02.960793
A044,4,T4,free_recall,IFR,-1.0974785,155.27,2025-12-02T15:24:02.960793
A045,1,T1,free_recall,IFR,-0.76336116,1.0,2025-12-02T15:24:02.960793
A045,2,T2,free_recall,IFR,-0.47526395,24.66,2025-12-02T15:24:02.960793
A045,3,T3,free_recall,IFR,-0.4236594,72.23,2025-12-02T15:24:02.960793
A045,4,T4,free_recall,IFR,-1.2165346,151.52,2025-12-02T15:24:02.960793
A046,1,T1,free_recall,IFR,-0.77469015,1.0,2025-12-02T15:24:02.960793
A046,2,T2,free_recall,IFR,-1.245836,24.32,2025-12-02T15:24:02.960793
A046,3,T3,free_recall,IFR,-1.6056858,73.05,2025-12-02T15:24:02.960793
A046,4,T4,free_recall,IFR,-1.0504586,147.94,2025-12-02T15:24:02.960793
A047,1,T1,free_recall,IFR,-0.5218471,1.0,2025-12-02T15:24:02.960793
A047,2,T2,free_recall,IFR,-0.38599724,23.46,2025-12-02T15:24:02.960793
A047,3,T3,free_recall,IFR,-1.1630286,76.85,2025-12-02T15:24:02.960793
A047,4,T4,free_recall,IFR,-0.8443499,144.22,2025-12-02T15:24:02.960793
A048,1,T1,free_recall,IFR,1.4464241,1.0,2025-12-02T15:24:02.960793
A048,2,T2,free_recall,IFR,-0.24025916,23.91,2025-12-02T15:24:02.960793
A048,3,T3,free_recall,IFR,0.37180644,81.15,2025-12-02T15:24:02.960793
A048,4,T4,free_recall,IFR,0.32747135,146.3,2025-12-02T15:24:02.960793
A049,1,T1,free_recall,IFR,1.9369724,1.0,2025-12-02T15:24:02.960793
A049,2,T2,free_recall,IFR,-0.40477413,27.12,2025-12-02T15:24:02.960793
A049,3,T3,free_recall,IFR,0.5799155,111.38,2025-12-02T15:24:02.960793
A049,4,T4,free_recall,IFR,0.29279515,168.86,2025-12-02T15:24:02.960793
A050,1,T1,free_recall,IFR,0.10375316,1.0,2025-12-02T15:24:02.960793
A050,2,T2,free_recall,IFR,-0.20866837,24.73,2025-12-02T15:24:02.960793
A050,3,T3,free_recall,IFR,-0.78698945,93.39,2025-12-02T15:24:02.960793
A050,4,T4,free_recall,IFR,-0.7662721,148.69,2025-12-02T15:24:02.960793
A051,1,T1,free_recall,IFR,1.1308651,1.0,2025-12-02T15:24:02.960793
A051,2,T2,free_recall,IFR,-0.1484353,17.16,2025-12-02T15:24:02.960793
A051,3,T3,free_recall,IFR,-0.51630783,65.63,2025-12-02T15:24:02.960793
A051,4,T4,free_recall,IFR,-0.24947512,146.99,2025-12-02T15:24:02.960793
A052,1,T1,free_recall,IFR,0.8560208,1.0,2025-12-02T15:24:02.960793
A052,2,T2,free_recall,IFR,0.514484,31.76,2025-12-02T15:24:02.960793
A052,3,T3,free_recall,IFR,0.336497,80.98,2025-12-02T15:24:02.960793
A052,4,T4,free_recall,IFR,-0.45561698,153.27,2025-12-02T15:24:02.960793
A053,1,T1,free_recall,IFR,1.4144037,1.0,2025-12-02T15:24:02.960793
A053,2,T2,free_recall,IFR,0.28295353,32.71,2025-12-02T15:24:02.960793
A053,3,T3,free_recall,IFR,-0.83496577,78.28,2025-12-02T15:24:02.960793
A053,4,T4,free_recall,IFR,-0.19286156,148.9,2025-12-02T15:24:02.960793
A054,1,T1,free_recall,IFR,0.06454673,1.0,2025-12-02T15:24:02.960793
A054,2,T2,free_recall,IFR,0.59928095,16.9,2025-12-02T15:24:02.960793
A054,3,T3,free_recall,IFR,0.76526284,72.83,2025-12-02T15:24:02.960793
A054,4,T4,free_recall,IFR,1.2983474,136.83,2025-12-02T15:24:02.960793
A055,1,T1,free_recall,IFR,-0.3203487,1.0,2025-12-02T15:24:02.960793
A055,2,T2,free_recall,IFR,0.5494155,23.24,2025-12-02T15:24:02.960793
A055,3,T3,free_recall,IFR,-0.9620779,74.48,2025-12-02T15:24:02.960793
A055,4,T4,free_recall,IFR,-0.9730982,149.21,2025-12-02T15:24:02.960793
A056,1,T1,free_recall,IFR,0.8824607,1.0,2025-12-02T15:24:02.960793
A056,2,T2,free_recall,IFR,0.3381003,33.61,2025-12-02T15:24:02.960793
A056,3,T3,free_recall,IFR,-0.26972502,71.46,2025-12-02T15:24:02.960793
A056,4,T4,free_recall,IFR,-1.5637758,147.84,2025-12-02T15:24:02.960793
A057,1,T1,free_recall,IFR,0.009936852,1.0,2025-12-02T15:24:02.960793
A057,2,T2,free_recall,IFR,-0.7343016,24.78,2025-12-02T15:24:02.960793
A057,3,T3,free_recall,IFR,-0.6061695,73.83,2025-12-02T15:24:02.960793
A057,4,T4,free_recall,IFR,-1.3534855,145.06,2025-12-02T15:24:02.960793
A058,1,T1,free_recall,IFR,1.2909634,1.0,2025-12-02T15:24:02.960793
A058,2,T2,free_recall,IFR,-1.1071848,22.96,2025-12-02T15:24:02.960793
A058,3,T3,free_recall,IFR,-0.0076611126,66.28,2025-12-02T15:24:02.960793
A058,4,T4,free_recall,IFR,-0.8837645,143.48,2025-12-02T15:24:02.960793
A059,1,T1,free_recall,IFR,0.98924613,1.0,2025-12-02T15:24:02.960793
A059,2,T2,free_recall,IFR,1.1210508,30.4,2025-12-02T15:24:02.960793
A059,3,T3,free_recall,IFR,1.5913445,79.78,2025-12-02T15:24:02.960793
A059,4,T4,free_recall,IFR,0.5147332,151.93,2025-12-02T15:24:02.960793
A060,1,T1,free_recall,IFR,0.089007095,1.0,2025-12-02T15:24:02.960793
A060,2,T2,free_recall,IFR,0.9243096,24.87,2025-12-02T15:24:02.960793
A060,3,T3,free_recall,IFR,-0.42468035,94.68,2025-12-02T15:24:02.960793
A060,4,T4,free_recall,IFR,0.6639469,143.91,2025-12-02T15:24:02.960793
A061,1,T1,free_recall,IFR,2.6159682,1.0,2025-12-02T15:24:02.960793
A061,2,T2,free_recall,IFR,0.83355284,35.16,2025-12-02T15:24:02.960793
A061,3,T3,free_recall,IFR,0.720659,82.55,2025-12-02T15:24:02.960793
A061,4,T4,free_recall,IFR,-0.44061255,146.56,2025-12-02T15:24:02.960793
A062,1,T1,free_recall,IFR,1.5698215,1.0,2025-12-02T15:24:02.960793
A062,2,T2,free_recall,IFR,0.29121718,44.69,2025-12-02T15:24:02.960793
A062,3,T3,free_recall,IFR,-0.99807596,92.72,2025-12-02T15:24:02.960793
A062,4,T4,free_recall,IFR,-1.3407863,149.18,2025-12-02T15:24:02.960793
A063,1,T1,free_recall,IFR,1.0055077,1.0,2025-12-02T15:24:02.960793
A063,2,T2,free_recall,IFR,0.5848471,21.98,2025-12-02T15:24:02.960793
A063,3,T3,free_recall,IFR,-0.0073365774,69.99,2025-12-02T15:24:02.960793
A063,4,T4,free_recall,IFR,-1.0480841,141.09,2025-12-02T15:24:02.960793
A064,1,T1,free_recall,IFR,0.9337908,1.0,2025-12-02T15:24:02.960793
A064,2,T2,free_recall,IFR,1.0231495,37.65,2025-12-02T15:24:02.960793
A064,3,T3,free_recall,IFR,0.12078351,82.99,2025-12-02T15:24:02.960793
A064,4,T4,free_recall,IFR,-0.82732314,156.21,2025-12-02T15:24:02.960793
A065,1,T1,free_recall,IFR,-1.6313238,1.0,2025-12-02T15:24:02.960793
A065,2,T2,free_recall,IFR,0.011327019,32.31,2025-12-02T15:24:02.960793
A065,3,T3,free_recall,IFR,-1.3355386,106.41,2025-12-02T15:24:02.960793
A065,4,T4,free_recall,IFR,-2.3671904,187.43,2025-12-02T15:24:02.960793
A066,1,T1,free_recall,IFR,0.2606496,1.0,2025-12-02T15:24:02.960793
A066,2,T2,free_recall,IFR,-0.04822852,23.35,2025-12-02T15:24:02.960793
A066,3,T3,free_recall,IFR,-0.73158157,73.79,2025-12-02T15:24:02.960793
A066,4,T4,free_recall,IFR,-1.053569,164.93,2025-12-02T15:24:02.960793
A067,1,T1,free_recall,IFR,0.53448457,1.0,2025-12-02T15:24:02.960793
A067,2,T2,free_recall,IFR,-1.4098325,29.91,2025-12-02T15:24:02.960793
A067,3,T3,free_recall,IFR,-1.5651689,73.19,2025-12-02T15:24:02.960793
A067,4,T4,free_recall,IFR,-1.2525647,144.19,2025-12-02T15:24:02.960793
A068,1,T1,free_recall,IFR,1.1313976,1.0,2025-12-02T15:24:02.960793
A068,2,T2,free_recall,IFR,-0.6020199,30.49,2025-12-02T15:24:02.960793
A068,3,T3,free_recall,IFR,0.8178577,82.98,2025-12-02T15:24:02.960793
A068,4,T4,free_recall,IFR,-0.18029927,155.59,2025-12-02T15:24:02.960793
A069,1,T1,free_recall,IFR,-0.9453881,1.0,2025-12-02T15:24:02.960793
A069,2,T2,free_recall,IFR,-1.0803355,24.96,2025-12-02T15:24:02.960793
A069,3,T3,free_recall,IFR,-0.40901044,79.75,2025-12-02T15:24:02.960793
A069,4,T4,free_recall,IFR,-1.3295189,140.22,2025-12-02T15:24:02.960793
A070,1,T1,free_recall,IFR,-0.19590467,1.0,2025-12-02T15:24:02.960793
A070,2,T2,free_recall,IFR,0.001917907,24.25,2025-12-02T15:24:02.960793
A070,3,T3,free_recall,IFR,-0.6862198,81.92,2025-12-02T15:24:02.960793
A070,4,T4,free_recall,IFR,-0.76803863,149.2,2025-12-02T15:24:02.960793
A071,1,T1,free_recall,IFR,0.8231066,1.0,2025-12-02T15:24:02.960793
A071,2,T2,free_recall,IFR,0.7234464,30.92,2025-12-02T15:24:02.960793
A071,3,T3,free_recall,IFR,-0.8875053,79.96,2025-12-02T15:24:02.960793
A071,4,T4,free_recall,IFR,0.3867004,153.27,2025-12-02T15:24:02.960793
A072,1,T1,free_recall,IFR,0.7837958,1.0,2025-12-02T15:24:02.960793
A072,2,T2,free_recall,IFR,1.3752688,33.76,2025-12-02T15:24:02.960793
A072,3,T3,free_recall,IFR,-0.50578904,83.54,2025-12-02T15:24:02.960793
A072,4,T4,free_recall,IFR,0.22475065,154.89,2025-12-02T15:24:02.960793
A073,1,T1,free_recall,IFR,1.0453852,1.0,2025-12-02T15:24:02.960793
A073,2,T2,free_recall,IFR,-0.18324019,66.66,2025-12-02T15:24:02.960793
A073,3,T3,free_recall,IFR,1.1016877,66.9,2025-12-02T15:24:02.960793
A073,4,T4,free_recall,IFR,1.1862053,140.12,2025-12-02T15:24:02.960793
A074,1,T1,free_recall,IFR,1.1920998,1.0,2025-12-02T15:24:02.960793
A074,2,T2,free_recall,IFR,-0.18063918,29.33,2025-12-02T15:24:02.960793
A074,3,T3,free_recall,IFR,-0.33134934,73.02,2025-12-02T15:24:02.960793
A074,4,T4,free_recall,IFR,-0.77555984,147.21,2025-12-02T15:24:02.960793
A075,1,T1,free_recall,IFR,0.6835109,1.0,2025-12-02T15:24:02.960793
A075,2,T2,free_recall,IFR,0.15669091,28.68,2025-12-02T15:24:02.960793
A075,3,T3,free_recall,IFR,-1.2112106,71.37,2025-12-02T15:24:02.960793
A075,4,T4,free_recall,IFR,-0.9596083,244.53,2025-12-02T15:24:02.960793
A076,1,T1,free_recall,IFR,-0.23747711,1.0,2025-12-02T15:24:02.960793
A076,2,T2,free_recall,IFR,-0.96419734,27.3,2025-12-02T15:24:02.960793
A076,3,T3,free_recall,IFR,-1.6650329,74.88,2025-12-02T15:24:02.960793
A076,4,T4,free_recall,IFR,-1.514256,149.28,2025-12-02T15:24:02.960793
A077,1,T1,free_recall,IFR,0.94863856,1.0,2025-12-02T15:24:02.960793
A077,2,T2,free_recall,IFR,-0.2102372,53.88,2025-12-02T15:24:02.960793
A077,3,T3,free_recall,IFR,-0.27487096,78.36,2025-12-02T15:24:02.960793
A077,4,T4,free_recall,IFR,0.36480424,149.75,2025-12-02T15:24:02.960793
A078,1,T1,free_recall,IFR,-0.96974343,1.0,2025-12-02T15:24:02.960793
A078,2,T2,free_recall,IFR,0.103746764,26.17,2025-12-02T15:24:02.960793
A078,3,T3,free_recall,IFR,-0.52161014,72.3,2025-12-02T15:24:02.960793
A078,4,T4,free_recall,IFR,-1.1577317,140.08,2025-12-02T15:24:02.960793
A079,1,T1,free_recall,IFR,0.29714143,1.0,2025-12-02T15:24:02.960793
A079,2,T2,free_recall,IFR,-0.019604485,26.11,2025-12-02T15:24:02.960793
A079,3,T3,free_recall,IFR,-0.63756335,74.0,2025-12-02T15:24:02.960793
A079,4,T4,free_recall,IFR,-0.8638559,194.42,2025-12-02T15:24:02.960793
A080,1,T1,free_recall,IFR,-0.03166884,1.0,2025-12-02T15:24:02.960793
A080,2,T2,free_recall,IFR,0.46226197,29.03,2025-12-02T15:24:02.960793
A080,3,T3,free_recall,IFR,0.26095873,72.87,2025-12-02T15:24:02.960793
A080,4,T4,free_recall,IFR,-0.27738324,145.77,2025-12-02T15:24:02.960793
A081,1,T1,free_recall,IFR,-0.21233271,1.0,2025-12-02T15:24:02.960793
A081,2,T2,free_recall,IFR,-0.2756375,31.39,2025-12-02T15:24:02.960793
A081,3,T3,free_recall,IFR,1.1896797,80.13,2025-12-02T15:24:02.960793
A081,4,T4,free_recall,IFR,0.5770681,154.53,2025-12-02T15:24:02.960793
A082,1,T1,free_recall,IFR,0.23409934,1.0,2025-12-02T15:24:02.960793
A082,2,T2,free_recall,IFR,1.3762386,27.97,2025-12-02T15:24:02.960793
A082,3,T3,free_recall,IFR,0.45864242,75.71,2025-12-02T15:24:02.960793
A082,4,T4,free_recall,IFR,-0.5385982,170.25,2025-12-02T15:24:02.960793
A083,1,T1,free_recall,IFR,2.0915012,1.0,2025-12-02T15:24:02.960793
A083,2,T2,free_recall,IFR,0.5282948,25.15,2025-12-02T15:24:02.960793
A083,3,T3,free_recall,IFR,0.067734525,74.3,2025-12-02T15:24:02.960793
A083,4,T4,free_recall,IFR,0.35439134,144.91,2025-12-02T15:24:02.960793
A084,1,T1,free_recall,IFR,0.4183016,1.0,2025-12-02T15:24:02.960793
A084,2,T2,free_recall,IFR,-0.43802726,27.25,2025-12-02T15:24:02.960793
A084,3,T3,free_recall,IFR,-0.0573422,91.97,2025-12-02T15:24:02.960793
A084,4,T4,free_recall,IFR,-0.6182798,162.51,2025-12-02T15:24:02.960793
A085,1,T1,free_recall,IFR,-0.031216,1.0,2025-12-02T15:24:02.960793
A085,2,T2,free_recall,IFR,1.1066616,24.51,2025-12-02T15:24:02.960793
A085,3,T3,free_recall,IFR,0.061248675,71.4,2025-12-02T15:24:02.960793
A085,4,T4,free_recall,IFR,-0.76523185,170.65,2025-12-02T15:24:02.960793
A086,1,T1,free_recall,IFR,0.38950622,1.0,2025-12-02T15:24:02.960793
A086,2,T2,free_recall,IFR,-0.14577931,23.47,2025-12-02T15:24:02.960793
A086,3,T3,free_recall,IFR,-1.0502772,145.29,2025-12-02T15:24:02.960793
A086,4,T4,free_recall,IFR,-0.8074584,169.55,2025-12-02T15:24:02.960793
A087,1,T1,free_recall,IFR,0.78208005,1.0,2025-12-02T15:24:02.960793
A087,2,T2,free_recall,IFR,1.0232055,31.07,2025-12-02T15:24:02.960793
A087,3,T3,free_recall,IFR,0.5696994,72.8,2025-12-02T15:24:02.960793
A087,4,T4,free_recall,IFR,0.74973524,144.2,2025-12-02T15:24:02.960793
A088,1,T1,free_recall,IFR,1.4914855,1.0,2025-12-02T15:24:02.960793
A088,2,T2,free_recall,IFR,2.2012293,24.25,2025-12-02T15:24:02.960793
A088,3,T3,free_recall,IFR,1.2592479,74.91,2025-12-02T15:24:02.960793
A088,4,T4,free_recall,IFR,1.9822054,149.93,2025-12-02T15:24:02.960793
A089,1,T1,free_recall,IFR,0.9941269,1.0,2025-12-02T15:24:02.960793
A089,2,T2,free_recall,IFR,1.1067888,32.14,2025-12-02T15:24:02.960793
A089,3,T3,free_recall,IFR,0.42236474,79.34,2025-12-02T15:24:02.960793
A089,4,T4,free_recall,IFR,-0.14824519,146.96,2025-12-02T15:24:02.960793
