Segment,paradigm,Days_within,test,theta_observed,theta_predicted,CI_lower,CI_upper,slope,data_type
Early,IFR,0.0416666666666666,,,0.5532958402150479,,,-0.3680007147073622,prediction
Early,IFR,0.09190789473684205,,,0.5348070323774478,,,-0.3680007147073622,prediction
Early,IFR,0.14214912280701747,,,0.5163182245398475,,,-0.3680007147073622,prediction
Early,IFR,0.19239035087719292,,,0.49782941670224745,,,-0.3680007147073622,prediction
Early,IFR,0.24263157894736836,,,0.47934060886464724,,,-0.3680007147073622,prediction
Early,IFR,0.2928728070175438,,,0.46085180102704715,,,-0.3680007147073622,prediction
Early,IFR,0.3431140350877192,,,0.442362993189447,,,-0.3680007147073622,prediction
Early,IFR,0.3933552631578947,,,0.42387418535184684,,,-0.3680007147073622,prediction
Early,IFR,0.4435964912280701,,,0.4053853775142467,,,-0.3680007147073622,prediction
Early,IFR,0.4938377192982456,,,0.38689656967664654,,,-0.3680007147073622,prediction
Early,IFR,0.544078947368421,,,0.3684077618390464,,,-0.3680007147073622,prediction
Early,IFR,0.5943201754385965,,,0.34991895400144624,,,-0.3680007147073622,prediction
Early,IFR,0.6445614035087719,,,0.3314301461638461,,,-0.3680007147073622,prediction
Early,IFR,0.6948026315789474,,,0.31294133832624593,,,-0.3680007147073622,prediction
Early,IFR,0.7450438596491228,,,0.2944525304886458,,,-0.3680007147073622,prediction
Early,IFR,0.7952850877192983,,,0.27596372265104563,,,-0.3680007147073622,prediction
Early,IFR,0.8455263157894737,,,0.2574749148134455,,,-0.3680007147073622,prediction
Early,IFR,0.8957675438596491,,,0.23898610697584532,,,-0.3680007147073622,prediction
Early,IFR,0.9460087719298246,,,0.22049729913824517,,,-0.3680007147073622,prediction
Early,IFR,0.99625,,,0.20200849130064502,,,-0.3680007147073622,prediction
Early,ICR,0.0416666666666666,,,0.6341093575771755,,,-0.4197880065271531,prediction
Early,ICR,0.09190789473684205,,,0.6130186926001205,,,-0.4197880065271531,prediction
Early,ICR,0.14214912280701747,,,0.5919280276230655,,,-0.4197880065271531,prediction
Early,ICR,0.19239035087719292,,,0.5708373626460106,,,-0.4197880065271531,prediction
Early,ICR,0.24263157894736836,,,0.5497466976689555,,,-0.4197880065271531,prediction
Early,ICR,0.2928728070175438,,,0.5286560326919005,,,-0.4197880065271531,prediction
Early,ICR,0.3431140350877192,,,0.5075653677148455,,,-0.4197880065271531,prediction
Early,ICR,0.3933552631578947,,,0.4864747027377906,,,-0.4197880065271531,prediction
Early,ICR,0.4435964912280701,,,0.46538403776073556,,,-0.4197880065271531,prediction
Early,ICR,0.4938377192982456,,,0.4442933727836806,,,-0.4197880065271531,prediction
Early,ICR,0.544078947368421,,,0.42320270780662556,,,-0.4197880065271531,prediction
Early,ICR,0.5943201754385965,,,0.4021120428295706,,,-0.4197880065271531,prediction
Early,ICR,0.6445614035087719,,,0.38102137785251555,,,-0.4197880065271531,prediction
Early,ICR,0.6948026315789474,,,0.3599307128754606,,,-0.4197880065271531,prediction
Early,ICR,0.7450438596491228,,,0.3388400478984056,,,-0.4197880065271531,prediction
Early,ICR,0.7952850877192983,,,0.3177493829213506,,,-0.4197880065271531,prediction
Early,ICR,0.8455263157894737,,,0.2966587179442956,,,-0.4197880065271531,prediction
Early,ICR,0.8957675438596491,,,0.2755680529672406,,,-0.4197880065271531,prediction
Early,ICR,0.9460087719298246,,,0.2544773879901856,,,-0.4197880065271531,prediction
Early,ICR,0.99625,,,0.2333867230131306,,,-0.4197880065271531,prediction
Early,IRE,0.0416666666666666,,,0.6237907837760811,,,-0.3250408402068916,prediction
Early,IRE,0.09190789473684205,,,0.6074603327911252,,,-0.3250408402068916,prediction
Early,IRE,0.14214912280701747,,,0.5911298818061693,,,-0.3250408402068916,prediction
Early,IRE,0.19239035087719292,,,0.5747994308212134,,,-0.3250408402068916,prediction
Early,IRE,0.24263157894736836,,,0.5584689798362575,,,-0.3250408402068916,prediction
Early,IRE,0.2928728070175438,,,0.5421385288513016,,,-0.3250408402068916,prediction
Early,IRE,0.3431140350877192,,,0.5258080778663459,,,-0.3250408402068916,prediction
Early,IRE,0.3933552631578947,,,0.50947762688139,,,-0.3250408402068916,prediction
Early,IRE,0.4435964912280701,,,0.49314717589643403,,,-0.3250408402068916,prediction
Early,IRE,0.4938377192982456,,,0.47681672491147814,,,-0.3250408402068916,prediction
Early,IRE,0.544078947368421,,,0.46048627392652225,,,-0.3250408402068916,prediction
Early,IRE,0.5943201754385965,,,0.44415582294156636,,,-0.3250408402068916,prediction
Early,IRE,0.6445614035087719,,,0.42782537195661047,,,-0.3250408402068916,prediction
Early,IRE,0.6948026315789474,,,0.4114949209716546,,,-0.3250408402068916,prediction
Early,IRE,0.7450438596491228,,,0.3951644699866987,,,-0.3250408402068916,prediction
Early,IRE,0.7952850877192983,,,0.3788340190017428,,,-0.3250408402068916,prediction
Early,IRE,0.8455263157894737,,,0.3625035680167869,,,-0.3250408402068916,prediction
Early,IRE,0.8957675438596491,,,0.34617311703183096,,,-0.3250408402068916,prediction
Early,IRE,0.9460087719298246,,,0.32984266604687507,,,-0.3250408402068916,prediction
Early,IRE,0.99625,,,0.3135122150619192,,,-0.3250408402068916,prediction
Late,IFR,0.0,,,0.13008130335066775,,,-0.1020458440774906,prediction
Late,IFR,0.15684322033898304,,,0.11407610454334434,,,-0.1020458440774906,prediction
Late,IFR,0.3136864406779661,,,0.09807090573602104,,,-0.1020458440774906,prediction
Late,IFR,0.47052966101694915,,,0.08206570692869763,,,-0.1020458440774906,prediction
