parameter,estimate,ci_lower,ci_upper,se_bootstrap
Sleep_Hours_WP,-0.009117573764502892,-0.029065153286176475,0.010335062221820887,0.009960774623366319
Sleep_Quality_WP,0.039582612564677905,-0.013600597457977938,0.08646903711475752,0.024823856991119726
Sleep_Hours_PM,0.013163125191956119,-0.0038373080604490396,0.031149025121682328,0.008882425146413447
Sleep_Quality_PM,0.006308426043950316,-0.09645634219176036,0.11150838130152342,0.053147725722389204
