UID,TEST,Memory_Score,Sleep_Hours_WP,Sleep_Quality_WP,Sleep_Hours_PM,Sleep_Quality_PM
A010,1,1.0,-0.25,-0.375,7.25,-0.125
A010,2,1.0,0.75,0.125,7.25,-0.125
A010,3,1.0,-0.25,0.125,7.25,-0.125
A010,4,1.0,-0.25,0.125,7.25,-0.125
A011,1,1.0,1.25,0.5,5.75,0.0
A011,2,0.8571428571428571,0.25,-0.5,5.75,0.0
A011,3,0.7142857142857143,-1.75,0.0,5.75,0.0
A011,4,0.7142857142857143,0.25,0.0,5.75,0.0
A012,1,0.8571428571428571,-0.5,0.25,6.5,0.25
A012,2,0.7142857142857143,1.5,0.25,6.5,0.25
A012,3,1.0,-0.5,-0.25,6.5,0.25
A012,4,1.0,-0.5,-0.25,6.5,0.25
A013,1,0.8571428571428571,0.75,-0.25,5.25,-0.25
A013,2,0.7142857142857143,-1.25,-0.75,5.25,-0.25
A013,3,0.7142857142857143,-0.25,0.25,5.25,-0.25
A013,4,0.8571428571428571,0.75,0.75,5.25,-0.25
A014,1,1.0,1.0,0.625,8.0,-0.125
A014,2,1.0,2.0,-0.375,8.0,-0.125
A014,3,1.0,-3.0,-0.375,8.0,-0.125
A014,4,0.7142857142857143,0.0,0.125,8.0,-0.125
A015,1,1.0,-1.0,0.125,5.0,-0.125
A015,2,1.0,2.0,0.625,5.0,-0.125
A015,3,1.0,1.0,0.125,5.0,-0.125
A015,4,1.0,-2.0,-0.875,5.0,-0.125
A016,1,0.8571428571428571,-1.0,-0.25,8.0,0.25
A016,2,0.7142857142857143,-1.0,-0.25,8.0,0.25
A016,3,0.8571428571428571,1.0,0.25,8.0,0.25
A016,4,0.7142857142857143,1.0,0.25,8.0,0.25
A017,1,0.7857142857142857,-0.25,0.0,8.25,0.0
A017,2,1.0,0.75,0.0,8.25,0.0
A017,3,0.8571428571428571,-1.25,-0.5,8.25,0.0
A017,4,0.7142857142857143,0.75,0.5,8.25,0.0
A018,1,0.8571428571428571,-2.0,-0.75,7.0,0.25
A018,2,0.5714285714285714,-1.0,0.25,7.0,0.25
A018,3,0.5714285714285714,1.0,0.25,7.0,0.25
A018,4,0.7142857142857143,2.0,0.25,7.0,0.25
A019,1,1.0,-1.5,0.0,8.5,0.0
A019,2,0.5714285714285714,1.5,0.0,8.5,0.0
A019,3,0.8571428571428571,1.5,0.0,8.5,0.0
A019,4,0.8571428571428571,-1.5,0.0,8.5,0.0
A020,1,0.8571428571428571,-0.5,0.25,8.5,-0.25
A020,2,0.7142857142857143,-0.5,0.25,8.5,-0.25
A020,3,0.8571428571428571,0.5,-0.25,8.5,-0.25
A020,4,0.4285714285714285,0.5,-0.25,8.5,-0.25
A021,1,1.0,-0.5,-0.375,7.5,-0.125
A021,2,1.0,-0.5,0.125,7.5,-0.125
A021,3,1.0,1.5,0.625,7.5,-0.125
A021,4,0.8571428571428571,-0.5,-0.375,7.5,-0.125
A022,1,0.7142857142857143,-1.75,-0.25,6.75,-0.25
A022,2,0.5714285714285714,0.25,-0.25,6.75,-0.25
A022,3,0.5714285714285714,0.25,0.25,6.75,-0.25
A022,4,0.7142857142857143,1.25,0.25,6.75,-0.25
A023,1,1.0,-1.25,-0.125,7.25,-0.375
A023,2,0.7142857142857143,-0.25,-0.125,7.25,-0.375
A023,3,1.0,0.75,0.875,7.25,-0.375
A023,4,0.8571428571428571,0.75,-0.625,7.25,-0.375
A024,1,0.8571428571428571,-0.5,-0.125,7.5,0.125
A024,2,0.8571428571428571,-0.5,-0.125,7.5,0.125
A024,3,1.0,0.5,0.375,7.5,0.125
A024,4,0.8571428571428571,0.5,-0.125,7.5,0.125
A025,1,0.8571428571428571,-3.0,-0.375,8.0,-0.125
A025,2,1.0,0.0,0.125,8.0,-0.125
A025,3,0.8571428571428571,4.0,0.125,8.0,-0.125
A025,4,0.2857142857142857,-1.0,0.125,8.0,-0.125
A026,1,0.8571428571428571,-1.0,0.125,7.0,-0.125
A026,2,0.7142857142857143,0.0,0.125,7.0,-0.125
A026,3,0.8571428571428571,0.0,-0.375,7.0,-0.125
A026,4,0.8571428571428571,1.0,0.125,7.0,-0.125
A027,1,0.8571428571428571,-1.25,-0.125,7.25,-0.375
A027,2,1.0,-2.25,-0.625,7.25,-0.375
A027,3,0.7142857142857143,1.75,0.375,7.25,-0.375
A027,4,0.4285714285714285,1.75,0.375,7.25,-0.375
A028,1,1.0,-0.25,0.0,7.25,0.5
A028,2,1.0,-0.25,0.5,7.25,0.5
A028,3,0.5714285714285714,-0.25,-0.5,7.25,0.5
A028,4,0.8571428571428571,0.75,0.0,7.25,0.5
A029,1,0.5714285714285714,-0.75,0.0,7.75,0.0
A029,2,0.8571428571428571,-0.75,0.0,7.75,0.0
A029,3,1.0,0.25,0.0,7.75,0.0
A029,4,1.0,1.25,0.0,7.75,0.0
A030,1,0.8571428571428571,0.0,0.25,9.0,0.25
A030,2,1.0,2.0,0.25,9.0,0.25
A030,3,0.5714285714285714,0.0,-0.25,9.0,0.25
A030,4,0.5714285714285714,-2.0,-0.25,9.0,0.25
A031,1,1.0,0.75,0.75,8.25,0.25
A031,2,1.0,-0.25,-0.25,8.25,0.25
A031,3,1.0,-0.25,-0.25,8.25,0.25
A031,4,1.0,-0.25,-0.25,8.25,0.25
A032,1,0.7857142857142857,-0.5,0.0,7.5,0.0
A032,2,0.8571428571428571,-0.5,0.0,7.5,0.0
A032,3,0.8571428571428571,0.5,0.0,7.5,0.0
A032,4,1.0,0.5,0.0,7.5,0.0
A033,1,1.0,-0.25,0.0,6.25,0.0
A033,2,1.0,-1.25,-0.5,6.25,0.0
A033,3,1.0,0.75,0.5,6.25,0.0
