time,prob_mean,CI_lower,CI_upper,congruence
1.0,0.6107123313170437,0.5697555719483439,0.6501641770800761,common
28.769699999999997,0.5308691415577773,0.4946352669979069,0.5667804497613332,common
78.6681,0.4471827332096295,0.4093552710309077,0.485631680825506,common
151.3752,0.405560242962986,0.3689684028835021,0.4432320803844193,common
1.0,0.6040477102264351,0.5602837631336686,0.6462063738203416,congruent
28.769699999999997,0.5381759658054008,0.5004333770359344,0.5754859649262144,congruent
78.6681,0.4710180827056038,0.430488704175332,0.5119332351162001,congruent
151.3752,0.401839683634508,0.3669027554905563,0.43780282562173584,congruent
1.0,0.6235141824522343,0.5889119491094559,0.6569007133443782,incongruent
28.769699999999997,0.5239538718796355,0.486260259955741,0.5613765481097157,incongruent
78.6681,0.4583731726729976,0.419091396869751,0.4981793030028606,incongruent
151.3752,0.4016055429638323,0.3636502982273472,0.44077828827224136,incongruent
