time,theta_mean,CI_lower,CI_upper,congruence
1.0,0.4503074536284,0.2808539631975189,0.6197609440592812,common
28.769699999999997,0.12363380772999999,-0.02145975552631252,0.2687273709863125,common
78.6681,-0.21206019691000003,-0.3666312889090725,-0.05748910491092754,common
151.3752,-0.38234995,-0.5366449246249357,-0.22805497537506422,common
1.0,0.42235946163,0.24231377262007037,0.6024051506399296,congruent
28.769699999999997,0.15300164050999998,0.0017335085778443227,0.30426977244215564,congruent
78.6681,-0.11605776302999998,-0.2798575326514574,0.04774200659145747,congruent
151.3752,-0.39780559344000005,-0.5455271936344745,-0.25008399324552555,congruent
1.0,0.504491134042,0.35946925300796795,0.649513015076032,incongruent
28.769699999999997,0.09588889233000002,-0.05497280001815695,0.24675058467815697,incongruent
78.6681,-0.16689361399,-0.3265044078018702,-0.00728282017812984,incongruent
151.3752,-0.39877979316,-0.559555571090265,-0.23800401522973505,incongruent
